10		10		10		10	
20220913 biotin dsnPPR10C2 IMAC001:10_UV		20220913 biotin dsnPPR10C2 IMAC001:10_Cond		20220913 biotin dsnPPR10C2 IMAC001:10_Conc		20220913 biotin dsnPPR10C2 IMAC001:10_Fractions	
ml	 mAU	ml	 mS/cm	ml	 %B	ml	(Fractions)
  34.544	   79.057000	  35.557	   19.200000	  40.637	   40.100000	         	            
  34.686	   79.340000	  35.703	   19.216000	  40.804	   40.200000	         	            
  34.827	   79.553000	  35.849	   19.232000	  40.970	   40.400000	         	            
  34.969	   79.832000	  35.995	   19.250000	  41.137	   40.500000	         	            
  35.111	   79.944000	  36.140	   19.267000	  41.304	   40.700000	         	            
  35.252	   79.837000	  36.286	   19.282000	  41.470	   40.900000	         	            
  35.394	   79.836000	  36.432	   19.291000	  41.637	   41.000000	         	            
  35.535	   79.834000	  36.578	   19.303000	  41.803	   41.200000	         	            
  35.677	   79.721000	  36.723	   19.319000	  41.970	   41.400000	         	            
  35.819	   79.701000	  36.869	   19.335000	  42.136	   41.500000	         	            
  35.960	   79.507000	  37.015	   19.348000	  42.303	   41.700000	         	            
  36.102	   79.273000	  37.160	   19.360000	  42.469	   41.900000	         	            
  36.243	   79.076000	  37.306	   19.374000	  42.636	   42.000000	         	            
  36.385	   78.929000	  37.452	   19.386000	  42.802	   42.200000	         	            
  36.526	   78.728000	  37.598	   19.397000	  42.969	   42.400000	         	            
  36.668	   78.471000	  37.743	   19.415000	  43.136	   42.500000	         	            
  36.810	   78.180000	  37.889	   19.431000	  43.302	   42.700000	         	            
  36.951	   77.915000	  38.035	   19.445000	  43.469	   42.900000	         	            
  37.093	   77.597000	  38.181	   19.458000	  43.635	   43.000000	         	            
  37.234	   77.218000	  38.326	   19.475000	  43.802	   43.200000	         	            
  37.376	   76.931000	  38.472	   19.496000	  43.968	   43.400000	         	            
  37.517	   76.501000	  38.618	   19.517000	  44.135	   43.500000	         	            
  37.659	   75.955000	  38.763	   19.536000	  44.301	   43.700000	         	            
  37.801	   75.446000	  38.909	   19.559000	  44.468	   43.900000	         	            
  37.942	   75.043000	  39.055	   19.585000	  44.634	   44.000000	         	            
  38.084	   74.248000	  39.201	   19.608000	  44.801	   44.200000	         	            
  38.225	   73.674000	  39.346	   19.629000	  44.968	   44.400000	         	            
  38.367	   73.154000	  39.492	   19.646000	  45.134	   44.500000	         	            
  38.508	   72.605000	  39.638	   19.659000	  45.301	   44.700000	         	            
  38.650	   72.071000	  39.784	   19.665000	  45.467	   44.900000	         	            
  38.792	   71.658000	  39.929	   19.667000	  45.634	   45.000000	         	            
  38.933	   71.140000	  40.075	   19.672000	  45.800	   45.200000	         	            
  39.075	   70.590000	  40.221	   19.682000	  45.967	   45.400000	         	            
  39.216	   70.077000	  40.366	   19.693000	  46.133	   45.500000	         	            
  39.358	   69.715000	  40.512	   19.699000	  46.300	   45.700000	         	            
  39.499	   69.144000	  40.658	   19.710000	  46.466	   45.900000	         	            
  39.641	   68.540000	  40.804	   19.722000	  46.633	   46.000000	         	            
  39.783	   67.805000	  40.949	   19.735000	  46.800	   46.200000	         	            
  39.924	   67.123000	  41.095	   19.743000	  46.966	   46.300000	         	            
  40.066	   66.205000	  41.241	   19.752000	  47.133	   46.500000	         	            
  40.207	   65.376000	  41.387	   19.764000	  47.299	   46.700000	         	            
  40.349	   64.601000	  41.532	   19.775000	  47.466	   46.800000	         	            
  40.490	   63.659000	  41.678	   19.787000	  47.632	   47.000000	         	            
  40.632	   62.644000	  41.824	   19.799000	  47.799	   47.200000	         	            
  40.774	   61.646000	  41.969	   19.808000	  47.965	   47.300000	         	            
  40.915	   60.804000	  42.115	   19.822000	  48.132	   47.500000	         	            
  41.057	   59.949000	  42.261	   19.835000	  48.298	   47.700000	         	            
  41.198	   59.235000	  42.407	   19.849000	  48.465	   47.800000	         	            
  41.340	   58.658000	  42.552	   19.865000	  48.632	   48.000000	         	            
  41.482	   58.056000	  42.698	   19.881000	  48.798	   48.200000	         	            
  41.623	   57.472000	  42.844	   19.898000	  48.965	   48.300000	         	            
  41.765	   56.996000	  42.990	   19.920000	  49.131	   48.500000	         	            
  41.906	   56.581000	  43.135	   19.936000	  49.298	   48.700000	         	            
  42.048	   56.190000	  43.281	   19.956000	  49.464	   48.800000	         	            
  42.189	   55.837000	  43.427	   19.968000	  49.631	   49.000000	         	            
  42.331	   55.520000	  43.572	   19.979000	  49.797	   49.200000	         	            
  42.473	   55.272000	  43.718	   19.990000	  49.964	   49.300000	         	            
  42.614	   55.175000	  43.864	   20.005000	  50.130	   49.500000	         	            
  42.756	   55.063000	  44.010	   20.018000	  50.297	   49.700000	         	            
  42.897	   55.100000	  44.155	   20.024000	  50.464	   49.800000	         	            
  43.039	   55.163000	  44.301	   20.039000	  50.630	   50.000000	         	            
  43.180	   55.072000	  44.447	   20.052000	  50.797	   50.200000	         	            
  43.322	   55.081000	  44.593	   20.060000	  50.963	   50.300000	         	            
  43.464	   55.328000	  44.738	   20.076000	  51.130	   50.500000	         	            
  43.605	   55.379000	  44.884	   20.084000	  51.296	   50.700000	         	            
  43.747	   55.512000	  45.030	   20.095000	  51.463	   50.800000	         	            
  43.888	   55.695000	  45.175	   20.105000	  51.629	   50.900000	         	            
  44.030	   55.920000	  45.321	   20.125000	  51.796	   51.200000	         	            
  44.171	   56.298000	  45.467	   20.136000	  51.962	   51.300000	         	            
  44.313	   56.177000	  45.613	   20.150000	  52.129	   51.400000	         	            
  44.455	   56.363000	  45.758	   20.163000	  52.296	   51.700000	         	            
  44.596	   56.953000	  45.904	   20.174000	  52.462	   51.800000	         	            
  44.738	   57.436000	  46.050	   20.186000	  52.629	   51.900000	         	            
  44.879	   58.158000	  46.196	   20.201000	  52.795	   52.200000	         	            
  45.021	   58.817000	  46.341	   20.217000	  52.962	   52.300000	         	            
  45.162	   59.568000	  46.487	   20.236000	  53.128	   52.400000	         	            
  45.304	   60.153000	  46.633	   20.251000	  53.295	   52.600000	         	            
  45.446	   60.830000	  46.778	   20.262000	  53.461	   52.800000	         	            
  45.587	   61.598000	  46.924	   20.272000	  53.628	   52.900000	         	            
  45.729	   62.235000	  47.070	   20.286000	  53.794	   53.100000	         	            
  45.870	   63.019000	  47.216	   20.290000	  53.961	   53.300000	         	            
  46.012	   63.788000	  47.361	   20.300000	  54.128	   53.400000	         	            
  46.153	   64.417000	  47.507	   20.317000	  54.294	   53.600000	         	            
  46.295	   65.219000	  47.653	   20.336000	  54.461	   53.800000	         	            
  46.437	   66.190000	  47.799	   20.351000	  54.627	   53.900000	         	            
  46.578	   67.124000	  47.944	   20.366000	  54.794	   54.100000	         	            
  46.720	   67.938000	  48.090	   20.380000	  54.960	   54.300000	         	            
  46.861	   69.077000	  48.236	   20.394000	  55.127	   54.400000	         	            
  47.003	   70.106000	  48.381	   20.402000	  55.293	   54.600000	         	            
  47.145	   71.197000	  48.527	   20.417000	  55.460	   54.800000	         	            
  47.286	   72.177000	  48.673	   20.431000	  55.626	   54.900000	         	            
  47.428	   73.169000	  48.819	   20.448000	  55.793	   55.100000	         	            
  47.569	   74.362000	  48.964	   20.460000	  55.960	   55.300000	         	            
  47.711	   75.530000	  49.110	   20.473000	  56.126	   55.400000	         	            
  47.852	   76.755000	  49.256	   20.480000	  56.293	   55.600000	         	            
  47.994	   77.855000	  49.402	   20.480000	  56.459	   55.800000	         	            
  48.136	   78.807000	  49.547	   20.479000	  56.626	   55.900000	         	            
